,starttime,endtime,duration,endx,endy
0,16456.365,16574.08,117.71500000000015,878.0,419.0
1,16657.417,16740.756,83.33899999999994,1162.0,401.0
2,16774.092,16957.432,183.34000000000015,1164.0,391.0
3,17074.116,17207.39,133.2739999999976,863.0,386.0
4,17257.381,17374.039,116.65799999999945,1162.0,389.0
5,17507.369,17707.411,200.04200000000128,841.0,393.0
6,17757.407,17840.713,83.3060000000005,1128.0,389.0
7,17990.7,18057.366,66.66600000000108,856.0,395.0
8,18190.793999999998,18657.471,466.6770000000033,1133.0,403.0
9,18690.813000000002,18857.51,166.69699999999648,1175.0,393.0
10,18890.861,19457.402,566.5409999999974,1149.0,403.0
11,19524.06,19607.393,83.33299999999872,846.0,384.0
12,19640.749,19807.476000000002,166.7270000000026,836.0,412.0
13,19924.151,19957.491,33.340000000000146,862.0,395.0
14,20074.162,20107.502,33.340000000000146,855.0,402.0
15,20459.957,20562.754,102.7970000000023,845.0,427.0
16,20729.471,20929.485,200.0139999999992,862.0,403.0
17,21162.82,21246.112,83.29200000000128,1124.0,377.0
18,21346.062,21379.39,33.3279999999977,1135.0,387.0
19,21412.721,21462.714,49.992999999998574,1187.0,379.0
20,21512.709,22012.557999999997,499.84899999999834,1177.0,372.0
21,22045.882,22212.77,166.887999999999,1178.0,389.0
22,22246.104,22479.59,233.4860000000008,1150.0,379.0
23,22512.795,22796.007,283.2120000000032,1177.0,368.0
24,22895.988999999998,22945.978,49.9890000000014,870.0,667.0
25,22979.313,23012.637000000002,33.32400000000416,851.0,662.0
26,23062.627999999997,23129.326,66.69800000000396,863.0,389.0
27,23262.756,23579.441000000003,316.6850000000013,826.0,705.0
28,23696.121,23929.27,233.14900000000125,853.0,694.0
29,23962.59,24062.571,99.98099999999977,848.0,708.0
30,24095.896,24129.215,33.318999999999505,832.0,718.0
31,24195.87,24229.341,33.47100000000137,829.0,722.0
32,24262.676,24329.343999999997,66.66799999999785,833.0,719.0
33,24396.012000000002,24629.349,233.3369999999959,1116.0,703.0
34,24729.395,24796.07,66.67499999999927,850.0,692.0
35,24896.066000000003,25029.397,133.3309999999983,1171.0,688.0
36,25062.729,25179.392999999996,116.66399999999703,1174.0,708.0
37,25212.725,25279.415,66.69000000000233,1195.0,697.0
38,25329.426,25479.42,149.99399999999878,880.0,713.0
39,25529.425,26129.376,599.9510000000009,1159.0,695.0
40,26196.088,26229.37,33.28199999999924,804.0,731.0
41,26429.395,26479.458,50.06299999999828,859.0,438.0
42,26580.117000000002,26630.153,50.03599999999642,859.0,413.0
43,26730.095,26763.502,33.40699999999924,842.0,406.0
44,26813.509,26913.514,100.00500000000102,846.0,407.0
45,26946.853,27046.857999999997,100.00499999999738,894.0,392.0
46,27113.535,27280.248,166.71299999999974,1136.0,388.0
47,27330.252,27530.273999999998,200.0219999999972,852.0,391.0
48,27696.956000000002,27780.167,83.21099999999933,885.0,695.0
49,27930.173,27963.509,33.33599999999933,826.0,395.0
50,27996.847,28063.521,66.67399999999907,825.0,387.0
51,28130.177000000003,28246.849,116.67199999999502,1120.0,393.0
52,28581.442000000003,29350.237,768.7949999999983,847.0,407.0
53,29450.225,29800.27,350.0450000000019,1141.0,397.0
54,29850.269,29983.588,133.3189999999995,839.0,407.0
55,30066.967,30100.252999999997,33.28599999999642,852.0,391.0
56,30133.581000000002,30233.565,99.98399999999674,833.0,400.0
57,30266.952,30350.227000000003,83.27500000000146,837.0,393.0
58,30416.888,30783.52,366.6320000000014,1146.0,402.0
59,30850.287999999997,31100.296000000002,250.00800000000527,842.0,419.0
60,31133.637000000002,31350.307999999997,216.67099999999482,867.0,410.0
61,31789.162,31823.843999999997,34.68199999999706,833.0,387.0
62,31891.673,31991.658,99.98500000000058,1121.0,396.0
63,32141.625,32491.676,350.0509999999995,836.0,382.0
64,32575.005,32724.988999999998,149.98399999999674,1154.0,392.0
65,32808.312000000005,32858.407,50.09499999999389,850.0,409.0
66,32925.072,32991.744,66.67199999999866,847.0,388.0
67,33058.414,33158.416,100.00200000000041,852.0,386.0
68,33225.082,33624.977999999996,399.89599999999336,1145.0,381.0
69,33691.641,33808.289,116.64799999999377,1138.0,638.0
70,33858.322,34158.291,299.9689999999973,1149.0,712.0
71,34224.954,34358.43,133.4760000000024,1137.0,385.0
72,34425.116,34458.455,33.33899999999994,854.0,712.0
73,34491.797,34625.159,133.362000000001,843.0,717.0
74,35081.281,35132.556000000004,51.275000000001455,815.0,707.0
75,35265.952000000005,35299.294,33.341999999996915,817.0,439.0
76,35432.531,35499.193999999996,66.66299999999319,798.0,389.0
77,35665.849,35699.179,33.32999999999447,1088.0,716.0
78,35732.51,35882.43,149.91999999999825,1142.0,695.0
79,35949.075,36032.379,83.30400000000373,827.0,689.0
80,36082.412000000004,36215.67,133.25799999999435,817.0,690.0
81,37854.85,37921.818,66.96800000000076,862.0,398.0
82,37988.631,38138.506,149.875,1136.0,369.0
83,38238.512,38405.083,166.57099999999627,821.0,395.0
84,38438.413,38505.077000000005,66.66400000000431,838.0,401.0
85,38555.078,38621.74,66.66199999999662,835.0,712.0
86,38655.072,38871.716,216.64400000000023,851.0,706.0
87,38971.703,39021.705,50.00200000000041,1146.0,721.0
88,40442.04,40495.421,53.38100000000122,1039.0,691.0
89,40531.282,40567.122,35.84000000000378,1014.0,721.0
90,40735.779,40985.754,249.97499999999854,748.0,690.0
